
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.44,20.00,3801159,0.10221,0.01750,1305.04
0.00000,2.00,9.00,0.44,20.00,3800447,0.09064,0.01031,1307.79
0.02603,2.00,9.00,0.44,20.00,3799290,0.09361,0.01149,1309.72
0.03756,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.04520,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.05093,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.05551,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.05933,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.06260,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.06547,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.06801,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07030,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07239,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07429,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07606,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07769,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.07922,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.08065,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.08200,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.08327,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
0.08448,2.00,9.00,0.44,20.00,3800040,0.09376,0.01154,1309.74
