
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,170.67,20.00,3799448,0.07277,0.00819,1102.29
0.00000,2.00,6.00,170.67,20.00,3798120,0.06715,0.00559,1072.36
0.78890,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
1.18330,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
1.44623,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
1.64342,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
1.80118,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
1.93265,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.04533,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.14393,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.23157,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.31045,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.38216,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.44789,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.50857,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.56491,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.61750,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.66680,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.71320,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.75702,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
2.79853,2.00,6.00,170.67,20.00,3801140,0.06727,0.00561,1062.60
