
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.00,20.00,3799162,0.13501,0.02038,1068.56
0.00000,2.00,9.00,0.00,20.00,3802208,0.12425,0.01395,1082.39
0.73181,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.09543,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.33785,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.51966,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.66512,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.78632,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.89022,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
1.98112,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.06193,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.13465,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.20077,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.26137,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.31732,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.36926,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.41775,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.46320,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.50598,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.54638,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
2.58466,2.00,9.00,0.00,20.00,3800719,0.12880,0.01576,993.77
