
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,0.00,20.00,3803443,0.10929,0.00877,1132.07
0.00000,2.00,4.00,0.00,20.00,3799363,0.10720,0.00813,1132.77
0.00947,2.00,4.00,0.00,20.00,3798049,0.10771,0.00809,1133.98
0.01395,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.01694,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.01917,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02096,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02246,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02373,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02485,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02585,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02674,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02756,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02830,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02899,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.02963,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.03023,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.03079,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.03131,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.03181,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
0.03228,2.00,4.00,0.00,20.00,3800287,0.10772,0.00807,1134.10
