
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,1.33,0.05,3797294,0.07940,0.00907,1083.16
0.00000,2.00,6.00,1.33,0.05,3796599,0.07375,0.00651,1058.70
0.02625,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.03917,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.04778,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.05423,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.05940,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.06370,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.06739,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.07062,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.07349,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.07607,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.07842,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08057,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08256,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08441,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08613,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08774,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.08926,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.09070,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
0.09206,2.00,6.00,1.33,0.05,3799301,0.07417,0.00658,1045.01
