
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.06,0.05,3799646,0.12498,0.02007,1092.56
0.00000,2.00,9.00,0.06,0.05,3797101,0.11318,0.01312,1095.33
-0.01318,2.00,9.00,0.06,0.05,3799054,0.15051,0.03868,1240.12
-0.03844,2.00,9.00,0.06,0.05,3798092,0.24820,0.22424,1248.91
-0.08784,2.00,9.00,0.06,0.05,3800222,0.44196,1.11695,1250.01
-0.17333,2.00,9.00,0.06,0.05,3795435,0.78173,4.34380,1251.51
-0.30967,2.00,9.00,0.06,0.05,3799282,1.32375,13.90102,1253.19
-0.51363,2.00,9.00,0.06,0.05,3796510,2.13832,38.51100,1253.37
-0.80482,2.00,9.00,0.06,0.05,3796407,3.30029,94.68822,1253.34
-1.20485,2.00,9.00,0.06,0.05,3798736,4.89427,212.95218,1253.67
-1.73755,2.00,9.00,0.06,0.05,3797995,7.01404,440.92097,1253.63
-2.42895,2.00,9.00,0.06,0.05,3795562,9.77749,867.77927,1253.42
