
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,56.89,0.05,3798659,0.08911,0.01550,1160.56
0.00000,2.00,9.00,56.89,0.05,3799470,0.07839,0.00844,1119.70
0.02161,2.00,9.00,56.89,0.05,3799766,0.08010,0.00914,1080.05
0.03155,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.03814,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.04307,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.04702,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.05032,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.05314,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.05561,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.05780,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.05977,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06157,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06322,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06474,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06615,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06746,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06870,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.06986,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.07096,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
0.07199,2.00,9.00,56.89,0.05,3802539,0.08025,0.00921,1080.15
