
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.67,0.05,3798141,0.08464,0.00980,1069.04
0.00000,2.00,6.00,0.67,0.05,3799368,0.07867,0.00713,1048.51
0.02133,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.03173,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.03866,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.04385,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.04801,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.05148,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.05445,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.05705,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.05936,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06144,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06333,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06506,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06666,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06814,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.06953,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.07083,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.07205,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.07321,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
0.07430,2.00,6.00,0.67,0.05,3800461,0.07921,0.00720,1030.96
