
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.04,0.05,3797323,0.11189,0.01210,989.72
0.00000,2.00,6.00,0.04,0.05,3799085,0.10629,0.00971,988.13
-0.00629,2.00,6.00,0.04,0.05,3798449,0.12632,0.01879,1138.29
-0.01946,2.00,6.00,0.04,0.05,3797074,0.21186,0.10446,1168.83
-0.05674,2.00,6.00,0.04,0.05,3799463,0.47369,0.87960,1174.30
-0.15017,2.00,6.00,0.04,0.05,3798221,1.14571,6.50917,1180.32
-0.35931,2.00,6.00,0.04,0.05,3797146,2.66353,38.81495,1185.34
-0.78656,2.00,6.00,0.04,0.05,3800775,5.77640,189.54390,1186.95
-1.59748,2.00,6.00,0.04,0.05,3801240,11.70120,791.90423,1187.11
-3.04763,2.00,6.00,0.04,0.05,3796863,22.31422,2897.85421,1186.83
