
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.89,0.05,3799285,0.09645,0.01653,1146.09
0.00000,2.00,9.00,0.89,0.05,3799432,0.08518,0.00949,1115.40
0.01482,2.00,9.00,0.89,0.05,3800745,0.08771,0.01045,1067.20
0.02096,2.00,9.00,0.89,0.05,3801348,0.08778,0.01050,1067.14
0.02504,2.00,9.00,0.89,0.05,3804251,0.08790,0.01054,1066.94
0.02806,2.00,9.00,0.89,0.05,3802176,0.08777,0.01053,1066.95
0.03051,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03253,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03426,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03577,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03712,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03833,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.03943,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04044,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04138,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04224,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04305,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04381,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04452,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04519,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
0.04583,2.00,9.00,0.89,0.05,3804146,0.08788,0.01054,1067.23
