
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,0.50,0.05,3799282,0.08734,0.00624,864.85
0.00000,2.00,1.00,0.50,0.05,3797177,0.08734,0.00625,865.01
0.01266,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.01895,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.02315,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.02629,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.02881,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03091,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03271,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03428,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03568,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03693,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03808,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.03913,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04010,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04099,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04183,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04262,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04336,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04406,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
0.04472,2.00,1.00,0.50,0.05,3797372,0.08742,0.00627,864.81
