
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.89,1.00,3801357,0.58276,1.02052,1355.29
0.00000,2.00,9.00,0.89,1.00,3797751,0.46493,0.62868,1348.18
0.39112,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.51650,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.60009,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.66278,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.71293,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.75472,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.79055,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.82189,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.84975,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.87483,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.89762,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.91852,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.93781,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.95572,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.97244,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
0.98811,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
1.00286,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
1.01679,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
1.02999,2.00,9.00,0.89,1.00,3799444,0.60530,1.10597,1357.47
