
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,1.33,20.00,3797294,0.07940,0.00907,1295.01
0.00000,2.00,6.00,1.33,20.00,3800452,0.07378,0.00651,1296.89
0.04289,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.06417,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.07835,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.08899,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.09750,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.10459,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.11067,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.11599,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.12072,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.12497,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.12884,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.13239,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.13566,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.13870,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.14154,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.14419,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.14670,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.14906,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
0.15130,2.00,6.00,1.33,20.00,3799079,0.07412,0.00656,1297.27
