
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,56.89,20.00,3798659,0.08911,0.01550,1329.87
0.00000,2.00,9.00,56.89,20.00,3799460,0.07847,0.00850,1331.42
0.03820,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.05646,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.06864,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.07778,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.08509,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.09118,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.09639,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.10096,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.10502,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.10868,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.11200,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.11504,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.11785,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.12046,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.12290,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.12518,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.12733,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.12936,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
0.13128,2.00,9.00,56.89,20.00,3801195,0.08013,0.00916,1332.40
