
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.17,1.00,3801295,0.85236,1.24092,1352.35
0.00000,2.00,6.00,0.17,1.00,3799330,0.72565,0.84165,1341.81
0.13040,2.00,6.00,0.17,1.00,3797538,0.87604,1.26638,1354.26
0.12041,2.00,6.00,0.17,1.00,3801256,0.87474,1.26320,1354.32
0.11418,2.00,6.00,0.17,1.00,3797396,0.86812,1.24216,1354.02
0.11117,2.00,6.00,0.17,1.00,3797594,0.87204,1.25434,1354.09
0.10797,2.00,6.00,0.17,1.00,3799691,0.87434,1.26926,1354.06
0.10492,2.00,6.00,0.17,1.00,3800383,0.87365,1.25502,1354.20
0.10241,2.00,6.00,0.17,1.00,3801425,0.87382,1.26039,1354.31
0.10019,2.00,6.00,0.17,1.00,3798250,0.86869,1.25039,1354.04
0.09879,2.00,6.00,0.17,1.00,3801561,0.86948,1.24542,1354.24
0.09744,2.00,6.00,0.17,1.00,3796955,0.87012,1.25313,1354.06
0.09617,2.00,6.00,0.17,1.00,3799554,0.87312,1.26075,1354.09
0.09474,2.00,6.00,0.17,1.00,3800735,0.87569,1.26922,1354.21
0.09323,2.00,6.00,0.17,1.00,3798854,0.87109,1.25203,1354.08
0.09216,2.00,6.00,0.17,1.00,3801904,0.87395,1.25894,1354.31
0.09097,2.00,6.00,0.17,1.00,3801782,0.87070,1.25304,1354.24
0.09005,2.00,6.00,0.17,1.00,3796768,0.86797,1.24263,1354.01
0.08935,2.00,6.00,0.17,1.00,3798224,0.86794,1.23962,1354.19
0.08869,2.00,6.00,0.17,1.00,3801881,0.87009,1.24384,1354.17
0.08795,2.00,6.00,0.17,1.00,3801881,0.87009,1.24384,1354.17
