
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,21.33,1.00,3799891,0.11723,0.10699,1316.62
0.00000,2.00,6.00,21.33,1.00,3800607,0.08546,0.03072,1316.75
0.77060,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.14140,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.38861,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.57401,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.72233,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.84593,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
1.95187,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.04458,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.12698,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.20114,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.26856,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.33036,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.38740,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.44037,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.48982,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.53617,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.57979,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.62099,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
2.66002,2.00,6.00,21.33,1.00,3802951,0.11445,0.11356,1317.97
