
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.33,20.00,3800249,0.09154,0.01048,1260.28
0.00000,2.00,6.00,0.33,20.00,3800692,0.08563,0.00791,1263.10
0.03104,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.04613,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.05618,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.06372,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.06976,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.07479,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.07910,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.08287,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.08622,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.08924,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.09198,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.09449,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.09681,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.09897,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.10098,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.10287,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.10464,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.10632,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
0.10790,2.00,6.00,0.33,20.00,3801260,0.08650,0.00809,1264.06
