
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,2.00,20.00,3798685,0.07094,0.00616,1281.02
0.00000,2.00,4.00,2.00,20.00,3800431,0.06860,0.00532,1281.77
0.04807,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.07208,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.08809,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.10010,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.10970,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.11771,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.12457,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.13057,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.13591,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.14071,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.14507,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.14908,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.15277,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.15620,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.15940,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.16240,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.16523,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.16790,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
0.17042,2.00,4.00,2.00,20.00,3800855,0.06865,0.00528,1281.98
