
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,0.00,1.00,3799287,0.73024,0.91364,1210.39
0.00000,2.00,1.00,0.00,1.00,3801770,0.18948,0.06370,1005.46
0.66658,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.00131,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.22447,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.39183,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.52573,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.63730,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.73294,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.81662,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.89101,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
1.95796,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.01882,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.07460,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.12610,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.17392,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.21855,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.26039,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.29977,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.33697,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
2.37220,2.00,1.00,0.00,1.00,3802176,0.18659,0.05249,1000.00
