
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.11,1.00,3798349,0.90084,1.41104,1371.30
0.00000,2.00,9.00,0.11,1.00,3798978,0.79647,1.01465,1367.23
0.05958,2.00,9.00,0.11,1.00,3801838,0.84418,1.18452,1372.76
0.06552,2.00,9.00,0.11,1.00,3799422,0.86717,1.24785,1372.95
0.06182,2.00,9.00,0.11,1.00,3798504,0.85314,1.20850,1372.73
0.06255,2.00,9.00,0.11,1.00,3797936,0.85149,1.20639,1372.68
0.06346,2.00,9.00,0.11,1.00,3797238,0.85725,1.21933,1372.69
0.06326,2.00,9.00,0.11,1.00,3799782,0.85660,1.22391,1372.83
0.06318,2.00,9.00,0.11,1.00,3799511,0.85671,1.21643,1372.70
0.06310,2.00,9.00,0.11,1.00,3801050,0.85879,1.21828,1372.78
0.06280,2.00,9.00,0.11,1.00,3800857,0.85397,1.21973,1372.82
0.06300,2.00,9.00,0.11,1.00,3798353,0.85857,1.22610,1372.84
0.06277,2.00,9.00,0.11,1.00,3800857,0.85397,1.21973,1372.82
0.06295,2.00,9.00,0.11,1.00,3797389,0.85298,1.21639,1372.67
0.06319,2.00,9.00,0.11,1.00,3799511,0.85671,1.21643,1372.70
0.06314,2.00,9.00,0.11,1.00,3799637,0.86013,1.22887,1372.81
0.06287,2.00,9.00,0.11,1.00,3798487,0.85308,1.21639,1372.79
0.06305,2.00,9.00,0.11,1.00,3797927,0.85992,1.22676,1372.84
0.06283,2.00,9.00,0.11,1.00,3800570,0.85557,1.22548,1372.86
0.06285,2.00,9.00,0.11,1.00,3798487,0.85308,1.21639,1372.79
0.06301,2.00,9.00,0.11,1.00,3798353,0.85857,1.22610,1372.84
