
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,0.50,20.00,3798921,0.08208,0.00724,1238.75
0.00000,2.00,4.00,0.50,20.00,3802896,0.07965,0.00646,1240.22
0.03702,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.05544,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.06772,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.07693,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.08430,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.09044,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.09570,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.10031,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.10440,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.10808,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.11143,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.11450,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.11734,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.11997,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.12243,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.12473,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.12689,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.12894,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
0.13088,2.00,4.00,0.50,20.00,3798592,0.07983,0.00643,1240.42
