
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.00,1.00,3798152,0.95961,1.30282,1357.61
0.00000,2.00,6.00,0.00,1.00,3802868,0.84085,0.91756,1345.82
0.01520,2.00,6.00,0.00,1.00,3804090,0.75593,0.88553,1342.10
0.06527,2.00,6.00,0.00,1.00,3801525,0.97496,1.28702,1359.50
0.02563,2.00,6.00,0.00,1.00,3803863,0.77454,0.95409,1342.88
0.04601,2.00,6.00,0.00,1.00,3802090,0.92863,1.18906,1359.16
0.03150,2.00,6.00,0.00,1.00,3800534,0.84478,1.04721,1358.03
0.03337,2.00,6.00,0.00,1.00,3805789,0.86059,1.07580,1358.52
0.03273,2.00,6.00,0.00,1.00,3801427,0.84388,1.04455,1358.07
0.03425,2.00,6.00,0.00,1.00,3803940,0.85749,1.06222,1358.39
0.03409,2.00,6.00,0.00,1.00,3803363,0.85918,1.06871,1358.43
0.03378,2.00,6.00,0.00,1.00,3803415,0.85755,1.06242,1358.36
0.03364,2.00,6.00,0.00,1.00,3802652,0.85864,1.07113,1358.47
0.03342,2.00,6.00,0.00,1.00,3805789,0.86059,1.07580,1358.52
0.03308,2.00,6.00,0.00,1.00,3804411,0.85866,1.06925,1358.33
0.03289,2.00,6.00,0.00,1.00,3801235,0.84858,1.06174,1358.08
0.03339,2.00,6.00,0.00,1.00,3805789,0.86059,1.07580,1358.52
0.03310,2.00,6.00,0.00,1.00,3804411,0.85866,1.06925,1358.33
0.03295,2.00,6.00,0.00,1.00,3801235,0.84858,1.06174,1358.08
0.03337,2.00,6.00,0.00,1.00,3805789,0.86059,1.07580,1358.52
0.03313,2.00,6.00,0.00,1.00,3804411,0.85866,1.06925,1358.33
