
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,256.00,20.00,3798490,0.06492,0.00546,1303.49
0.00000,2.00,4.00,256.00,20.00,3800826,0.06268,0.00459,1303.89
0.05399,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.08102,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.09903,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.11255,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.12336,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.13237,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.14009,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.14684,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.15285,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.15825,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.16317,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.16767,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.17183,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.17569,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.17929,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.18267,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.18585,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.18886,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
0.19170,2.00,4.00,256.00,20.00,3799511,0.06262,0.00457,1303.92
