
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,8.00,1.00,3799785,0.19772,0.25976,1271.15
0.00000,2.00,1.00,8.00,1.00,3801126,0.13781,0.11014,1224.09
0.71825,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.05315,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.27642,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.44387,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.57783,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.68947,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.78516,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.86888,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
1.94330,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.01028,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.07118,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.12699,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.17852,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.22636,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.27101,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.31288,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.35228,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.38949,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
2.42474,2.00,1.00,8.00,1.00,3800503,0.18625,0.05241,1000.00
