
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,2.00,20.00,3797917,0.07606,0.00560,1201.09
0.00000,2.00,1.00,2.00,20.00,3796390,0.07595,0.00559,1201.15
0.04072,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.06103,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.07457,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.08473,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.09286,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.09963,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.10544,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.11051,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.11503,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.11909,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.12279,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.12617,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.12930,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.13220,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.13491,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.13745,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.13984,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.14210,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
0.14423,2.00,1.00,2.00,20.00,3798389,0.07604,0.00561,1201.16
