
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.00,1.00,3798152,0.95961,1.30282,1145.87
0.00000,2.00,6.00,0.00,1.00,3800225,0.84305,0.92327,1344.83
0.01300,2.00,6.00,0.00,1.00,3800716,0.76129,0.87673,1332.70
0.06038,2.00,6.00,0.00,1.00,3798931,0.96727,1.25932,1114.53
0.02331,2.00,6.00,0.00,1.00,3802173,0.76695,0.94185,1287.65
0.04558,2.00,6.00,0.00,1.00,3800496,0.92888,1.18829,1138.62
0.03102,2.00,6.00,0.00,1.00,3801228,0.83338,1.04153,1215.48
0.03480,2.00,6.00,0.00,1.00,3801483,0.87001,1.08269,1180.61
0.03280,2.00,6.00,0.00,1.00,3802169,0.84546,1.04992,1202.48
0.03413,2.00,6.00,0.00,1.00,3799717,0.85976,1.08101,1191.14
0.03372,2.00,6.00,0.00,1.00,3799081,0.85648,1.06107,1190.82
0.03367,2.00,6.00,0.00,1.00,3803432,0.85689,1.06972,1191.29
0.03360,2.00,6.00,0.00,1.00,3803432,0.85689,1.06972,1191.29
0.03353,2.00,6.00,0.00,1.00,3803432,0.85689,1.06972,1191.29
0.03346,2.00,6.00,0.00,1.00,3798829,0.86066,1.08142,1191.79
0.03314,2.00,6.00,0.00,1.00,3801530,0.85742,1.06538,1191.17
0.03304,2.00,6.00,0.00,1.00,3803667,0.85221,1.06650,1200.23
0.03329,2.00,6.00,0.00,1.00,3801438,0.85767,1.06667,1191.62
0.03319,2.00,6.00,0.00,1.00,3801530,0.85742,1.06538,1191.17
0.03311,2.00,6.00,0.00,1.00,3801530,0.85742,1.06538,1191.17
0.03304,2.00,6.00,0.00,1.00,3803667,0.85221,1.06650,1200.23
