
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,85.33,1.00,3799689,0.08475,0.03673,1103.13
0.00000,2.00,6.00,85.33,1.00,3802017,0.07179,0.01176,1080.61
0.52821,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
0.78837,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
0.96181,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.09190,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.19596,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.28268,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.35702,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.42206,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.47987,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.53191,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.57921,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.62257,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.66259,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.69976,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.73445,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.76697,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.79758,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.82648,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
1.85387,2.00,6.00,85.33,1.00,3798409,0.07967,0.03298,1063.64
