
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,0.50,1.00,3798833,0.59790,0.80931,971.53
0.00000,2.00,1.00,0.50,1.00,3800901,0.19235,0.07863,893.20
0.40765,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
0.61466,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
0.75267,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
0.85618,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
0.93898,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.00798,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.06713,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.11888,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.16488,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.20629,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.24392,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.27843,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.31027,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.33985,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.36745,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.39333,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.41768,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.44068,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
1.46247,2.00,1.00,0.50,1.00,3799518,0.18598,0.05189,878.53
