
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,0.44,1.00,3800023,0.72952,1.23798,1193.26
0.00000,2.00,9.00,0.44,1.00,3800164,0.60744,0.81797,1350.66
-0.00744,2.00,9.00,0.44,1.00,3801436,0.63750,0.87964,1353.83
-0.02619,2.00,9.00,0.44,1.00,3802434,0.71446,1.11289,1357.13
-0.06434,2.00,9.00,0.44,1.00,3800493,0.87116,1.91563,1358.46
-0.13213,2.00,9.00,0.44,1.00,3802671,1.15358,4.49187,1359.91
-0.24285,2.00,9.00,0.44,1.00,3801741,1.61663,11.74910,1360.08
-0.41229,2.00,9.00,0.44,1.00,3799195,2.32557,30.37059,1359.96
-0.65880,2.00,9.00,0.44,1.00,3803434,3.36058,73.44575,1360.19
-1.00387,2.00,9.00,0.44,1.00,3800798,4.80613,166.07289,1359.97
-1.47122,2.00,9.00,0.44,1.00,3799895,6.76568,350.00793,1360.07
-2.08779,2.00,9.00,0.44,1.00,3800892,9.34953,698.90898,1360.21
