
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,6.00,0.67,1.00,3801001,0.63533,1.01119,1130.45
0.00000,2.00,6.00,0.67,1.00,3797569,0.50229,0.61491,1316.72
0.09771,2.00,6.00,0.67,1.00,3799029,0.65245,1.04383,1091.18
0.07148,2.00,6.00,0.67,1.00,3798524,0.64169,1.00161,1093.58
0.05758,2.00,6.00,0.67,1.00,3795685,0.62792,0.95649,1099.77
0.05061,2.00,6.00,0.67,1.00,3798001,0.61958,0.94545,1108.65
0.04669,2.00,6.00,0.67,1.00,3801865,0.60412,0.90643,1117.76
0.04600,2.00,6.00,0.67,1.00,3799047,0.59873,0.88917,1117.50
0.04618,2.00,6.00,0.67,1.00,3798528,0.60084,0.89046,1117.72
0.04608,2.00,6.00,0.67,1.00,3799498,0.60094,0.89857,1117.97
0.04597,2.00,6.00,0.67,1.00,3799047,0.59873,0.88917,1117.50
0.04610,2.00,6.00,0.67,1.00,3799498,0.60094,0.89857,1117.97
0.04602,2.00,6.00,0.67,1.00,3800074,0.59756,0.88507,1117.37
0.04622,2.00,6.00,0.67,1.00,3800423,0.59751,0.88377,1117.56
0.04641,2.00,6.00,0.67,1.00,3798235,0.59890,0.89012,1117.43
0.04649,2.00,6.00,0.67,1.00,3799879,0.60086,0.89645,1117.64
0.04643,2.00,6.00,0.67,1.00,3799879,0.60086,0.89645,1117.64
0.04638,2.00,6.00,0.67,1.00,3799146,0.60021,0.89253,1117.74
0.04637,2.00,6.00,0.67,1.00,3801503,0.60113,0.89416,1118.04
0.04630,2.00,6.00,0.67,1.00,3801503,0.60113,0.89416,1118.04
0.04624,2.00,6.00,0.67,1.00,3801503,0.60113,0.89416,1118.04
