[307570, 0]	[35735, 886412]	[35595, 887128]	[36007, 887330]	[36051, 888341]
[306011, 0]	[210446, 713868]	[208139, 712759]	[212841, 711166]	[209576, 713522]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
[306914, 0]	[0, 922586]	[0, 923276]	[0, 921691]	[0, 923307]
