[1331941, 0]	[0, 667343]	[0, 666840]	[0, 666738]	[0, 666941]
[1333732, 0]	[643, 664443]	[621, 665636]	[606, 665660]	[618, 666299]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
[1331488, 0]	[666807, 725]	[667619, 437]	[666797, 390]	[663794, 1363]
