[1333345, 0]	[0, 666645]	[0, 666877]	[0, 667144]	[0, 667531]
[1334146, 0]	[489522, 177286]	[487668, 177969]	[488227, 178645]	[486526, 177803]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
[1332018, 0]	[666755, 1]	[667291, 1]	[665487, 3]	[666284, 5]
