[307174, 0]	[35422, 887184]	[35815, 887969]	[36003, 887886]	[35992, 887832]
[307513, 0]	[233011, 690750]	[233477, 690221]	[233201, 688797]	[231542, 690360]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
[307695, 0]	[0, 922833]	[0, 923140]	[0, 922510]	[0, 922849]
