[443400, 0]	[16808, 874291]	[16845, 872926]	[16790, 871288]	[16891, 871982]
[444399, 0]	[369590, 519986]	[369228, 520602]	[369137, 519389]	[369039, 520196]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
[444672, 0]	[0, 890767]	[0, 888094]	[0, 890478]	[0, 890139]
