[307570, 0]	[35735, 886412]	[35595, 887128]	[36007, 887330]	[36051, 888341]
[307042, 0]	[209677, 711835]	[210316, 714866]	[209736, 714935]	[210402, 712730]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
[308538, 0]	[0, 921780]	[0, 923593]	[0, 922927]	[0, 924544]
