[211079, 0]	[49178, 897649]	[49667, 898876]	[49216, 897682]	[49141, 899245]
[210565, 0]	[149337, 801368]	[148274, 798795]	[147369, 800564]	[147896, 798822]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
[210693, 0]	[0, 947899]	[0, 946825]	[0, 947729]	[0, 948777]
